Título,Ano,Gêneros,Nota,Votacoes,Metascore
Léon: The Professional,1994,"Action, Crime, Drama",8.5,1186527,64
Dead Ringers,1988,"Drama, Horror, Thriller",7.2,50541,86
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,1464244,86
Alien,1979,"Horror, Sci-Fi",8.5,901404,89
Twister,1996,"Action, Adventure, Thriller",6.4,202499,68
Boston Strangler,2023,"Crime, Drama, History",6.5,22421,
Taxi Driver,1976,"Crime, Drama",8.2,861260,94
Saving Private Ryan,1998,"Drama, War",8.6,1420346,91
The Wicker Man,1973,"Horror, Mystery, Thriller",7.5,84753,87
Tenet,2020,"Action, Sci-Fi, Thriller",7.3,528478,69
Black Adam,2022,"Action, Adventure, Fantasy",6.3,244316,
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",8.4,560290,87
Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",7.7,684567,
Moana,2016,"Animation, Adventure, Comedy",7.6,350284,81
Elvis,2022,"Biography, Drama, Music",7.3,207142,64
Apocalypse Now,1979,"Drama, Mystery, War",8.4,680919,94
Spider-Man,2002,"Action, Adventure, Sci-Fi",7.4,836396,73
I See You,2019,"Crime, Drama, Mystery",6.8,58599,65
American Beauty,1999,Drama,8.3,1171976,84
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,1118710,68
A Serbian Film,2010,"Horror, Mystery, Thriller",5.0,67268,
Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",7.6,810034,68
Jurassic World: Dominion,2022,"Action, Adventure, Sci-Fi",5.6,182565,
A League of Their Own,1992,"Comedy, Drama, Sport",7.3,114368,69
Deadpool 2,2018,"Action, Adventure, Comedy",7.6,603148,66
Pride & Prejudice,2005,"Drama, Romance",7.8,307352,82
It,2017,Horror,7.3,567832,69
Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy",,,
Beetlejuice,1988,"Comedy, Fantasy",7.5,314730,70
The French Dispatch,2021,"Comedy, Drama, Romance",7.1,132684,74
Deadpool,2016,"Action, Comedy",8.0,1064946,65
The Fifth Element,1997,"Action, Adventure, Sci-Fi",7.6,485079,
My Cousin Vinny,1992,"Comedy, Crime",7.6,131615,68
Napoleon,2023,"Action, Biography, Drama",,,
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",9.0,1883148,94
RRR,2022,"Action, Drama",7.8,149111,83
Matilda,1996,"Comedy, Family, Fantasy",7.0,163318,72
The Blue Lagoon,1980,"Adventure, Drama, Romance",5.8,73517,
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",7.8,945947,80
On a Wing and a Prayer,2023,Drama,5.5,3217,
Stillwater,2021,"Crime, Drama, Thriller",6.6,47687,
Evil Dead II,1987,"Comedy, Horror",7.7,172374,72
Free Guy,2021,"Action, Adventure, Comedy",7.1,389013,62
Sing 2,2021,"Animation, Adventure, Comedy",7.4,74821,
Dazed and Confused,1993,Comedy,7.6,190437,80
Grease,1978,"Comedy, Musical, Romance",7.2,286368,70
The Green Mile,1999,"Crime, Drama, Fantasy",8.6,1331809,61
The Shining,1980,"Drama, Horror",8.4,1046605,66
Requiem for a Dream,2000,Drama,8.3,860019,71
The Exorcist,1973,Horror,8.1,420161,81
The Outsiders,1983,"Crime, Drama",7.0,90907,
The Invitation,2022,"Horror, Thriller",5.3,25321,
Doctor Strange in the Multiverse of Madness,2022,"Action, Adventure, Fantasy",6.9,436808,
Blade Runner,1982,"Action, Drama, Sci-Fi",8.1,786314,84
Murder Mystery,2019,"Action, Comedy, Crime",6.0,154378,
The Wizard of Oz,1939,"Adventure, Family, Fantasy",8.1,409560,92
No Country for Old Men,2007,"Crime, Drama, Thriller",8.2,999054,92
The Notebook,2004,"Drama, Romance",7.8,586933,
Three Thousand Years of Longing,2022,"Drama, Fantasy, Romance",6.7,45320,
The Little Things,2021,"Crime, Drama, Mystery",6.3,111108,
Little Women,2019,"Drama, Romance",7.8,218233,91
12 Angry Men,1957,"Crime, Drama",9.0,810563,97
The Fallout,2021,Drama,7.0,27488,84
After,2019,"Drama, Romance",5.3,59082,
Speed,1994,"Action, Adventure, Thriller",7.3,375498,78
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",8.1,1151128,63
Death on the Nile,2022,"Crime, Drama, Mystery",6.3,160706,
Strange Way of Life,2023,"Short, Drama, Western",,,
No Hard Feelings,2023,Comedy,,,
The Black Phone,2021,"Horror, Thriller",6.9,165464,65
The Prestige,2006,"Drama, Mystery, Sci-Fi",8.5,1361446,66
Iron Man,2008,"Action, Adventure, Sci-Fi",7.9,1080097,79
Close,2022,Drama,7.8,21184,81
Chicken Run: Dawn of the Nugget,,"Animation, Adventure, Comedy",,,
Gone Girl,2014,"Drama, Mystery, Thriller",8.1,1006367,79
Shutter Island,2010,"Mystery, Thriller",8.2,1356615,63
The Meg,2018,"Action, Horror, Sci-Fi",5.6,178703,
Django Unchained,2012,"Drama, Western",8.4,1595255,81
Twilight,2008,"Drama, Fantasy, Romance",5.3,470841,
Shazam!,2019,"Action, Adventure, Comedy",7.0,361690,71
Chevalier,2022,"Biography, Drama, History",6.7,1300,67
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,1026788,84
Bodies Bodies Bodies,2022,"Comedy, Horror, Thriller",6.2,49173,69
The Hangover,2009,Comedy,7.7,806090,73
Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",6.6,727904,
Hotel Desire,2011,"Short, Drama, Romance",5.7,3878,
Don't Look Up,2021,"Comedy, Drama, Sci-Fi",7.2,556306,
Scream 2,1997,"Horror, Mystery",6.3,196525,63
The Exorcist,2023,Horror,,,
The Fast and the Furious,2001,"Action, Crime, Thriller",6.8,396092,
Hacksaw Ridge,2016,"Biography, Drama, History",8.1,547619,71
The Mummy,1999,"Action, Adventure, Fantasy",7.1,443009,
Stand by Me,1986,"Adventure, Drama",8.1,416342,75
From Dusk Till Dawn,1996,"Action, Crime, Horror",7.2,324456,
Wrath of Man,2021,"Action, Crime, Thriller",7.1,189128,
The Tomorrow War,2021,"Action, Adventure, Drama",6.5,213512,
Conan the Barbarian,1982,"Action, Adventure, Fantasy",6.9,154870,
The Breakfast Club,1985,"Comedy, Drama",7.8,412720,66
Wind River,2017,"Crime, Drama, Mystery",7.7,261777,73
The Big Lebowski,1998,"Comedy, Crime",8.1,825652,71
Inside,2023,"Drama, Thriller",5.5,8209,
The Age of Adaline,2015,"Drama, Fantasy, Romance",7.2,189645,
Five Nights at Freddy's,2023,Horror,,,
Eyes Wide Shut,1999,"Drama, Mystery, Thriller",7.5,353562,68
Her,2013,"Drama, Romance, Sci-Fi",8.0,634291,91
The Dreamers,2003,"Drama, Romance",7.1,125826,62
Eternals,2021,"Action, Adventure, Fantasy",6.3,357463,
Your Name.,2016,"Animation, Drama, Fantasy",8.4,285013,79
We're the Millers,2013,"Comedy, Crime",7.0,462533,
The Equalizer,2014,"Action, Crime, Thriller",7.2,383564,
Oldboy,2003,"Action, Drama, Mystery",8.4,594697,77
The Girl Who Escaped: The Kara Robinson Story,2023,"Crime, Drama, Thriller",6.2,1662,
The Woman King,2022,"Action, Drama, History",6.8,60010,77
Pretty Baby,1978,Drama,6.5,11981,66
Sing,2016,"Animation, Comedy, Family",7.1,178119,
The Lion King,1994,"Animation, Adventure, Drama",8.5,1082531,88
The King's Man,2021,"Action, Adventure, Thriller",6.3,157081,
Deadpool 3,2024,"Action, Comedy, Sci-Fi",,,
The Unlikely Pilgrimage of Harold Fry,2023,Drama,6.9,647,
Sicario,2015,"Action, Crime, Drama",7.6,445005,82
The Princess Bride,1987,"Adventure, Comedy, Family",8.0,435420,77
Snow White,2024,"Adventure, Drama, Family",,,
Encanto,2021,"Animation, Comedy, Family",7.2,235563,75
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",6.9,409448,75
Fool's Paradise,2023,Comedy,5.5,357,
365 Days,2020,"Drama, Romance",3.3,93014,
The Dilemma,2011,"Comedy, Drama",5.3,55692,
Kids,1995,Drama,7.0,81249,63
Drive,2011,"Action, Drama",7.8,662533,78
Wicked,2024,"Comedy, Drama, Family",,,
Somewhere in Queens,2022,"Comedy, Drama",7.6,479,61
The Godfather Part II,1974,"Crime, Drama",9.0,1298006,90
Scarface,1983,"Crime, Drama",8.3,863792,65
The Father,2020,"Drama, Mystery",8.2,167220,88
Army of Darkness,1992,"Comedy, Horror",7.4,185531,
Chupa,2023,"Action, Adventure, Drama",5.5,5327,
Not Another Teen Movie,2001,Comedy,5.7,109604,
Call Me by Your Name,2017,"Drama, Romance",7.8,287315,94
Deep Water,2022,"Drama, Mystery, Thriller",5.4,50371,
Aliens,1986,"Action, Adventure, Sci-Fi",8.4,731201,84
Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",6.9,359719,62
Valley Girl,1983,"Comedy, Romance",6.4,16847,66
The Human Centipede (First Sequence),2009,Horror,4.4,82380,
The Machine,2023,"Action, Comedy",,,
The Portable Door,2023,Fantasy,6.0,4074,
Living,2022,Drama,7.2,18241,81
Transformers,2007,"Action, Adventure, Sci-Fi",7.0,650365,61
Bohemian Rhapsody,2018,"Biography, Drama, Music",7.9,554732,
Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",7.4,677726,73
Spirited Away,2001,"Animation, Adventure, Family",8.6,787227,96
Game Night,2018,"Action, Adventure, Comedy",6.9,243619,66
Dracula,1992,"Drama, Fantasy, Horror",7.4,225082,
The Martian,2015,"Adventure, Drama, Sci-Fi",8.0,877293,80
The Dark Knight Rises,2012,"Action, Drama, Thriller",8.4,1737943,78
The Matrix Resurrections,2021,"Action, Sci-Fi",5.7,260249,63
Super 8,2011,"Action, Mystery, Sci-Fi",7.0,360390,72
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",8.3,1029263,89
The Mother,2023,"Action, Thriller",5.5,7266,
Bad Boy,2023,"Comedy, Drama, Romance",8.7,8298,
Scream 3,2000,"Horror, Mystery",5.6,154138,
Old,2021,"Drama, Horror, Mystery",5.8,133891,
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3,683869,84
Hellhole,2022,"Horror, Mystery",5.8,6094,
Promising Young Woman,2020,"Crime, Drama, Mystery",7.5,186846,73
The Marvels,2023,"Action, Adventure, Fantasy",,,
The Help,2011,Drama,8.1,471441,62
Indiana Jones and the Raiders of the Lost Ark,1981,"Action, Adventure",8.4,984209,85
Arrival,2016,"Drama, Mystery, Sci-Fi",7.9,716899,81
Ex Machina,2014,"Drama, Sci-Fi, Thriller",7.7,560512,78
Room in Rome,2010,"Drama, Romance",6.1,25149,
Dodgeball: A True Underdog Story,2004,"Comedy, Sport",6.7,257193,
Chicken Run,2000,"Animation, Adventure, Comedy",7.1,198560,88
Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy",7.5,440784,69
The Lion King,2019,"Animation, Adventure, Drama",6.8,253150,
"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance",7.4,532812,68
Sharper,2023,"Crime, Drama, Thriller",6.6,20908,65
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",8.0,411486,
The Conjuring,2013,"Horror, Mystery, Thriller",7.5,523604,68
Lolita,1997,"Drama, Romance",6.8,62377,
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,2023,"Animation, Action, Adventure",6.7,4897,
A Clockwork Orange,1971,"Crime, Sci-Fi",8.3,846331,77
School of Rock,2003,"Comedy, Music",7.2,315686,82
Catch Me If You Can,2002,"Biography, Crime, Drama",8.1,1017811,75
Kraven the Hunter,2023,"Action, Adventure, Sci-Fi",,,
Ready Player One,2018,"Action, Adventure, Sci-Fi",7.4,452670,64
Tombstone,1993,"Biography, Drama, History",7.8,155454,
Paprika,1991,Drama,5.5,4341,
The Hateful Eight,2015,"Crime, Drama, Mystery",7.8,621924,68
The Greatest Showman,2017,"Biography, Drama, Musical",7.5,292051,
The Handmaiden,2016,"Drama, Romance, Thriller",8.1,156336,84
The Good Nurse,2022,"Biography, Crime, Drama",6.8,68776,65
The Thing,1982,"Horror, Mystery, Sci-Fi",8.2,437464,
10 Things I Hate About You,1999,"Comedy, Drama, Romance",7.3,356896,70
Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",6.9,646561,84
Megan Is Missing,2011,"Drama, Horror, Thriller",4.6,13708,
American Hustle,2013,"Crime, Drama",7.2,488113,90
Prometheus,2012,"Adventure, Mystery, Sci-Fi",7.0,620844,64
What's Love Got to Do with It?,2022,"Comedy, Romance",6.3,4074,
The Pianist,2002,"Biography, Drama, Music",8.5,853760,85
The Hunt,2020,"Action, Horror, Thriller",6.5,119467,
Empire of Light,2022,"Drama, Romance",6.6,17576,
Black Hawk Down,2001,"Action, Drama, History",7.7,406186,74
Mulholland Drive,2001,"Drama, Mystery, Thriller",7.9,366123,86
Uncharted,2022,"Action, Adventure",6.3,226472,
Memento,2000,"Mystery, Thriller",8.4,1261098,81
1917,2019,"Action, Drama, War",8.2,618335,78
Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",6.9,862804,66
Poker Face,2022,"Action, Crime, Thriller",5.1,9007,
